hospital_name,city,state,region
PeaceHealth St. Joseph Medical Center,Bellingham,WA,focus
PeaceHealth St Joseph Medical Center,Bellingham,WA,focus_source_name
Providence Health And Services - Washington,Everett,WA,corridor_source_name
Swedish Edmonds,Edmonds,WA,corridor_source_name
Swedish Medical Center,Seattle,WA,corridor_source_name
Swedish Medical Center Cherry Hill,Seattle,WA,corridor_source_name
Swedish Medical Center Issaquah,Issaquah,WA,corridor_source_name
Skagit Valley Hospital,Mount Vernon,WA,corridor
Cascade Valley Hospital,Arlington,WA,corridor
Providence Regional Medical Center Everett,Everett,WA,corridor
Swedish Edmonds Campus,Edmonds,WA,corridor
Overlake Medical Center,Bellevue,WA,corridor
UW Medical Center Northwest Campus,Seattle,WA,corridor
UW Medical Center,Seattle,WA,corridor_source_name
PeaceHealth United General Hospital,Sedro-Woolley,WA,corridor
Harborview Medical Center,Seattle,WA,corridor
EvergreenHealth Medical Center,Kirkland,WA,corridor
Stanford Health Care,Palo Alto,CA,sf_bay
UCSF Medical Center,San Francisco,CA,sf_bay
Sequoia Hospital,Redwood City,CA,sf_bay
MarinHealth Medical Center,Greenbrae,CA,sf_bay
Good Samaritan Hospital,San Jose,CA,sf_bay
El Camino Hospital,Mountain View,CA,sf_bay
Kaiser Permanente San Francisco,San Francisco,CA,sf_bay
CPMC Van Ness Campus,San Francisco,CA,sf_bay
Mills-Peninsula Medical Center,Burlingame,CA,sf_bay
John Muir Medical Center Walnut Creek,Walnut Creek,CA,sf_bay
